,순번,분류1,분류2,주요등급,상황1,상황2,특약사항,상황상세,목적,목차를위한텍스트
,89,임대,신축,A,등기없음,임차인의 전입신고가 되어 있다면 임대인은 은행에 불이익을 받을 수 있으므로 이때 필요한 특약,"본 임대차계약은 신규입주 주택으로 집단대출 대출금 채권최고액 00원이 있으며, 양 당사자가 합의에 의한 전세금으로 계약이며 임차인은 임대인이 등기완료 후 전입신고 하기로 한다. 
임차인의 전입신고로 등기가 불가능할 때에는 주민등록을 퇴거하여 주기로 하고 이행하지 않았을 때에는 그에 소요되는 손해를 임차인이 임대인에게 배상하기로 한다.",,,
,90,임대,신축,C,등기없음,신축아파트 소유권이전등기 이전에 임대차계약을 체결하는 경우,"본 건물에 대한 보존등기 이전 계약이므로 토지 등기부등본만 열람하고 본 호실에 대한 등기부등본은 향후 열람하기로 한다. 

본 건물은 현재 미등기 상태의 계약이며, 분양계약서 원본, 소유자 신분증을 확인하여 분양사에 확인후 진행하는 계약임",,,
,91,임대,신탁,B,수탁자/위탁자 입금,계약 목적물이 신탁회사에 신탁,"본 계약의 목적물은 담보신탁에 해당하므로, 보증금은 (수탁자, 위탁자)에게 입금하고, 월세는 (수탁자, 위탁자)에게 입금하기로 한다.",,,
,92,임대,원상복구,A,시설 원상복구,계약의 당사자의 원상복구 기준이 상이하여 분쟁이 예상,"현 시설 상태에서의 매매(임대) 계약이며, 원상복구 시 현 상태를 기준으로한다.",,,
,93,임대,원상복구,B,시설 원상복구,"도배,장판등의 유익비를 원상복구비용과 상계","임차인은 자기부담으로 도배, 장판 등을 공사 한 경우, 원상복구 하지 않아도 된다.",,,
,94,임대,원상복구,B,옵션 원상복구,기본 시설물에 대한 임차인의 의무를 명확하게 명시,"임차인은 기본 시설물 및 옵션(신발장,안방붙박이장,에어컨3대,아일랜드식타,화장대,마스터키3ea,에어컨리모컨3ea) 을 파손 및 분실할 경우 원상복구해야 한다. ",,,
,95,임대,월차임,A,선불/후불,거래당사자의 협의사항,월차임 00원정은 매월 00일 00계좌에 선(후)불로 입금하기로 한다. ,,,
,96,임대,유익비,B,유익비 보장,유익비에 대한 내용을 명확하게 명시,"임대인은 임차인이 유익비를 지출한 경우, 그 가액의 증가가 임대차 종료시에 현존한다면 지출한 금액이나 그 증가액을 상환하기로 한다.",,,
,97,임대,유익비,C,유익비 미보장,유익비에 대한 내용을 명확하게 명시,"임차인은 임대차계약 만료 시, 원상복구를 하기로 하며 이는 임차인의 유익비상환청구권을 포기하기로 한 것으로 본다.",,,
,98,임대,유익비,C,유익비 보장,유익비에 대한 내용을 명확하게 명시,"임차인은 건물 보존을 위해 꼭 필요하지는 않지만, 가치 증가를 위해 비용을 지출한 경우, 그 비용은 임대차 종료시에청구하기로 한다.",,,
,99,임대,재계약,B,보증금 반환,"임차인의 퇴거와 이사, 보증금회수에 차질이 있으면 안되는 경우",임대차계약 만료일에 새 임대차 계약의 성사 여부와 관계없이 임대인은 임차보증금을 반환하여야 한다.,,,
,100,임대,재계약,B,보증금변동,기존 계약과 동일한 계약의 당사자가 보증금과 계약기간을 변경하여 계약을 재체결,기존보증금 9억원에서 4천만원을 증액하여 계약기간을 연장하는 계약이다.,,,
,101,임대,재계약,B,보증금변동,기존 계약의 보증금의 법적 성격을 정하는 경우,기존보증금 9억원을 계약금으로 하고 증액분 4천만원을 잔금으로 한다.,,,
,102,임대,재계약,C,보증금 미변동,재계약에 대한 내용을 명확하게 명시해야 할 경우,임차인은 계약만기 0개월 전에 임대인에게 해지/연장 여부를 통보하며 미통보시에는 같은 조건으로 재계약된 것으로 간주한다. ,,,
,103,임대,재계약,C,보증금 변동,당사자협의 사항,"본 계약의 보증금은 2년간 5원으로 하고, 그 이후 5원을 증액하여 10원으로 한다.",,,
,104,임대,전세권,A,신규계약,임차인이 전세권설정을 요구하는 경,임대인은 임차인의 전세권설정에 동의하며 필요한 서류를 임차인에게 제공해주기로 한다. 전세권설정 및 말소에 필요한 제반 비용은 임차인이 부담하기로 한다.,,,
,105,임대,전세권,A,신규계약,임차인이 전세권을 담보권으로 악용할 소지가 있을 경우,임대인은 임차인의 전세권설정에 동의하며 임차인은 전세권을 양도하거나 임대하지 않기로 한다.,,,
,106,임대,전세자금대출,A,대출,계약금반환을 담보할 필요가 있는 경우,"본 계약은 임차인의 전세자금 대출 실행이 안될 경우, 위약금없이 해약하기로 한다. ",,,
,107,임대,전세자금대출,A,대출,계약금반환을 담보할 필요가 있는 경우,임차인의 책임 없는 사유로 전세자금 대출이 실행되지 않을 시 이 계약은 조건 없이 해제 하기로 하며 임대인은 수령한 계약금을 즉각 반환한다.,,,
,108,임대,전세자금대출,A,대출,잔금을 전세보증금으로 충당하는 계약을 진행해야 하는 경우,"매도인은 매수인의 잔금을 위한 대출, 전세입자의 전세자금대출에 적극협조 하기로 하며, 비협조로 잔금이 실행되지 못하면 매도인의 책임 있는 사유로 계약은 해제하기로 한다.",,,
,109,임대,전입신고,A,전입신고,"신축아파트(미등기) 계약 목적물에 임차인이 先전입신고하여 임대인의 등기가 불가능할 경우
",임대인은 임차인의 전입신고로 등기가 불가능할 때에는 주민등록을 퇴거하여 주어야 하고 이행하지 않아 발생하는 손해는 임차인이 배상하기로 한다.,,,
,110,임대,전입신고,C,전입신고,계약 목적물의 문제로 전입신고가 불가능 한 경우,"임차인은 본 계약목적물의 문제로 전입신고가 불가능할 경우, 본계약을 위약금없이 해약할 수 있다.",,,
,111,임대,권리관계,C,전입신고,"계약 목적물의 전입세대 확인 여부가 명확하지 않은 경우
- 전입세대열람원 확인이 필요한 경우",임대인은 잔금일에 전입세대 열람원을 열람하여 전입세대가 없음을 임차인에게 확인시키기로 한다.,,,
,112,임대,조건부계약취소,A,반려동물,임대인의 요청이 있는 경우,"실내흡연 및 반려동물 사육을 금지한다. 위반시 임대인은 계약을 해지할 수 있으며, 발생하는 피해는 임차인의 부담으로 한다.",,,
,113,임대,조건부계약취소,B,고성방가금지,임대인의 요청이 있는 경우,"임차인은 고성방가 및 이웃주민에게 피해를 끼치지 않도록 하며, 이로인한 문제가 발생시 임대인이 퇴거를 요청할 수 있다.",,,
,114,임대,조건부계약취소,A,제한물권,임대차의 경우 통상사용되는 특약이나 임차인의 취소권을 부여하여 불안감 해소가 필요한 경우 ,잔금 다음날까지 임대인은 임차인에게 손해가 발생할 수 있는 임차목적물에 대한 일체의 제한물권 설정 등을 할 수 없으며 위반시 임차인은 계약을 취소할 수 있다.,,,
,115,임대,조건부계약취소,B,하자,임차인의 변심이 예상되는 경우,잔금일에 본 계약목적물의 중대한 하자로 임차인이 사용 수익이 어려울 경우를 제외하고 단순 변심으로 계약을 해제 할 수 없다.,,,
,116,임대,중개보수,A,중개보수 협의,임대인의 불측의 손해를 방지하고 임차인이 계약기간을 다 채울수 없을것이 예상,임차인은 계약만료전 퇴거시 새로운 임차인이 입주 전까지 관리비와 부동산중개수수료는 임차인이 부담하기로 한다. ,,,
,117,임대,채권,A,일부/전부말소,선순위근저당으로 임차보증금에 불측의 손실이 발생할 수 있을 경우,임대인은 잔금 시에 대출금 일부/전부를 양 당사자가 은행에 동행하여 상환하기로 한다. ,,,
,118,임대,채권,A,전부말소,선순위근저당으로 임차보증금에 불측의 손실이 발생할 수 있을 경우,"임대인은 잔금일까지 소유권 외 영향을 줄수 있는 (전세권, 임차권, 지상권, 근저당권 등)을 말소시키기로 한다. ",,,
,119,임대,채권,C,임대인의 대출,"임대인이 전세 계약후 추가 대출을
실행할 예정","근저당을 말소하고 임차인이 선순위 권리를 확보한 뒤 임대인은
금 000원을 대출 예정임.이를 임차인에게 충분히 설명하고 계약을 진행한다.",,,
,120,임대,필요비,B,필요비 청구 가능/ 불가능,필요비에 대한 내용을 명확하게 명시해야 할 경우,임차인은 필요비로 지출한 비용을 임대차기간 내 청구할 수 있다.,,,
,121,임대,확인설명,B,하자에 대한 설명,명백한 하자가 있고 임대인이 수선의무를 부담하려고 하지 않을때,계약 목적물 00의 하자가 있음을 임차인은 인지하고 계약을 체결한다.,,,
,122,임대,채권,A,전부말소,임대차 목적물에 담보물권이 설정되어 있으며 중도금 없이 잔금시 담보물권 말소를 요청할 경우,본 계약은 중도금을 생략하고 등기사항전부증명서상 담보물권 등을 잔금일 기준으로 정산하기로 한다.,,,
,123,임대,재계약,A,계약갱신청구권 사용,계약갱신청구권 사용여부 명시,본 계약은 계약갱신청구권을 사용한 재계약이다.,,,
